Species or strain,Genome size (kbp),Protein-coding gene number,Total gene number*,Gene-coding percentage**
Halocynthia roretzi mitochondrion,14.8,12,37,72
Hanseniaspora uvarum mitochondrion,18.8,8,33,32
Harpiosquilla harpax mitochondrion,15.7,13,37,72
Hemibarbus labeo mitochondrion,16.6,13,37,68
Hemibarbus longirostris mitochondrion,16.6,13,37,68
Hemibarbus mylodon mitochondrion,16.6,13,37,68
Hexatrygon bickelli mitochondrion,17.5,13,37,65
Hyla chinensis mitochondrion,18.2,13,37,62
Ichthyophis bannanicus mitochondrion,16,13,37,70
Ilyanassa obsoleta mitochondrion,15.3,13,37,73
Indotestudo elongata mitochondrion,16.8,13,37,67
Japyx solifugus mitochondrion,15.8,13,37,70
Jenkinsia lamprotaenia mitochondrion,16.8,13,37,67
Kaloula pulchra mitochondrion,16.8,13,37,67
Kluyveromyces thermotolerans mitochondrion,23.6,11,38,41
Kneria sp. SL-2004 mitochondrion,16.4,13,37,43
Larus dominicanus mitochondrion,16.7,13,37,68
Lates calcarifer mitochondrion,16.5,13,37,70
Latimeria menadoensis mitochondrion,16.5,13,37,65
Lecanicillium muscarium mitochondrion,24.5,15,42,58
Lepeophtheirus salmonis mitochondrion,15.4,12,36,70
Leptorhynchoides thecatus mitochondrion,13.9,12,38,74
Leptotrombidium akamushi mitochondrion,13.7,13,37,75
Leptotrombidium deliense mitochondrion,13.7,13,37,74
Leptotrombidium pallidum mitochondrion,16.8,13,38,61
Limnonectes fujianensis mitochondrion,17.7,13,37,42
Lipotes vexillifer mitochondrion,16.4,13,37,69
Lottia digitalis mitochondrion,26.8,13,35,43
Loxodonta africana mitochondrion,16.9,13,37,67
Luidia quinalia mitochondrion,16.5,13,32,69
Lyciasalamandra atifi mitochondrion,16.7,13,37,68
Lysiosquillina maculata mitochondrion,16.3,13,37,68
Macrobrachium rosenbergii mitochondrion,15.8,13,37,68
Malacochersus tornieri mitochondrion,19.2,13,38,59
Mammuthus primigenius mitochondrion,16.8,13,37,67
Manouria emys mitochondrion,16.5,13,37,74
Mantella madagascariensis mitochondrion,22.9,13,38,74
Marsupenaeus japonicus mitochondrion,16,13,37,69
Masturus lanceolatus mitochondrion,16.5,13,37,70
Melanogrammus aeglefinus mitochondrion,16.6,13,37,68
Menura novaehollandiae mitochondrion,17.8,13,37,69
Merlangius merlangus mitochondrion,16.6,13,37,69
Mesobuthus gibbosus mitochondrion,16,13,37,67
Microhyla heymonsi mitochondrion,16.7,13,37,67
Mola mola mitochondrion,16.5,13,37,67
Montastraea annularis mitochondrion,16.1,13,17,72
Montastraea faveolata mitochondrion,16.1,13,17,72
Mortierella verticillata mitochondrion,58.7,25,54,36
Mus musculus mitochondrion,16.3,13,57,69
Mytilus trossulus mitochondrion,18.7,12,38,73
Myxocyprinus asiaticus mitochondrion,16.6,13,37,68
Octopus ocellatus mitochondrion,16,13,37,70
Orbinia latreillii mitochondrion,15.6,13,37,68
Oreochromis mossambicus mitochondrion,16.6,13,37,69
Ornithodoros porcinus mitochondrion,14.4,13,37,75
Oryza sativa (indica cultivar-group) mitochondrion,491.5,54,93,68
Ovophis okinavensis mitochondrion,17.4,13,37,64
Pantholops hodgsonii mitochondrion,16.5,13,37,68
Paracoccidioides brasiliensis mitochondrion,71.3,17,44,68
Parakneria cameronensis mitochondrion,16.6,13,37,66
Paramecium aurelia mitochondrion,40.5,46,54,64
Paramesotriton hongkongensis mitochondrion,16.3,13,37,69
Pedinomonas minor mitochondrion,25.1,11,23,69
Periplaneta fuliginosa mitochondrion,15,13,37,74
Petrobius brevistylis mitochondrion,15.7,13,37,71
Phanogenia gracilis mitochondrion,15.9,13,37,72
Philaenus spumarius mitochondrion,16.3,13,37,67
Phocoena phocoena mitochondrion,16.4,13,26,59
Phractolaemus ansorgii mitochondrion,16.5,13,37,64
Physcomitrella patens mitochondrion,105.3,,69,68
Phytophthora infestans mitochondrion,38,40,67,69
Placopecten magellanicus mitochondrion,32.1,12,48,35
Plasmodium simium mitochondrion,6,3,3,55
Plasmodium vivax mitochondrion,6,3,3,56
Podospora anserina mitochondrion,94.2,53,82,58
Polypedates megacephalus mitochondrion,16.5,11,35,56
Porichthys myriaster mitochondrion,18.9,13,37,60
Pseudocarcinus gigas mitochondrion,15.5,13,37,67
Pterodroma brevirostris mitochondrion,16.4,13,37,67
Pteronarcys princeps mitochondrion,16,13,37,70
Pyrocoelia rufa mitochondrion,17.7,13,37,62
Python regius mitochondrion,17.2,13,37,65
Raja porosa mitochondrion,17,13,37,67
Rangifer tarandus mitochondrion,16.4,13,37,69
Ranzania laevis mitochondrion,16.5,13,37,69
Rattus norvegicus mitochondrion,16.3,13,37,69
Rattus norvegicus strain BN/SsNHsdMCW mitochondrion,16.3,13,37,69
Reclinomonas americana mitochondrion,69,67,97,80
Rhacophorus schlegelii mitochondrion,21.4,13,37,52
Rhizopus oryzae mitochondrion,54.2,24,51,38
Rhodeus uyekii mitochondrion,16.8,13,37,69
Roboastra europaea mitochondrion,14.5,13,37,75
Rousettus aegyptiacus mitochondrion,16.7,13,37,67
Saccharomyces cerevisiae mitochondrion,85.8,19,46,23
Saccoglossus kowalevskii mitochondrion,17,13,37,66
Salanx ariakensis mitochondrion,16.6,13,37,68
Scenedesmus obliquus mitochondrion,42.8,20,53,38
Schizosaccharomyces pombe mitochondrion,19.4,10,37,50
Scleropages formosus mitochondrion,16.7,13,37,68
Sclerophasma paresisensis mitochondrion,15.5,13,37,71
Scolecomorphus vittatus mitochondrion,16,13,37,70
Scomber scombrus mitochondrion,16.6,13,37,68
Sebastes schlegeli mitochondrion,16.5,13,37,69
Sepia officinalis mitochondrion,16.2,13,37,65
Sepioteuthis lessoniana mitochondrion,16.6,13,37,69
Siphonops annulatus mitochondrion,16.2,13,37,69
Sminthopsis crassicaudata mitochondrion,17.4,13,37,69
Smittium culisetae mitochondrion,58.7,31,61,43
Sorex unguiculatus mitochondrion,17.1,13,37,66
Spadella cephaloptera mitochondrion,11.9,11,13,81
Spizaetus alboniger mitochondrion,18,13,37,63
Spizaetus nipalensis mitochondrion,17.7,13,37,64
Squilla empusa mitochondrion,15.8,13,37,70
Steinernema carpocapsae mitochondrion,13.9,12,36,73
Sundasalanx mekongensis mitochondrion,16.7,13,37,68
Sus scrofa mitochondrion,16.6,13,37,68
Synodus variegatus mitochondrion,16.5,13,37,69
Taenia asiatica mitochondrion,13.7,12,36,73
Taeniopygia guttata mitochondrion,16.9,13,37,81
Tamolanica tamolana mitochondrion,16.1,13,37,69
Teratoscincus keyserlingii mitochondrion,17.2,13,37,64
Testudo graeca mitochondrion,19.3,13,37,74
Testudo horsfieldii mitochondrion,17.1,13,37,66
Testudo kleinmanni mitochondrion,17.7,13,37,64
Testudo marginata mitochondrion,19.5,13,37,58
Tetrahymena pyriformis mitochondrion,47.3,44,58,62
Tetraodon nigroviridis mitochondrion,16.5,13,37,69
Thalassiosira pseudonana mitochondrion,43.8,35,62,64
Thrips imaginis mitochondrion,15.4,13,38,70
Triticum aestivum mitochondrion,452.5,39,73,7
Verasper variegatus mitochondrion,17.3,13,37,24
Verasper variegatus mitochondrion,17,13,37,67
Verasper variegatus mitochondrion,14.8,13,39,74
Volemys kikuchii mitochondrion,16.3,13,37,69
Watasenia scintillans mitochondrion,20.1,18,43,
Xenopeltis unicolor mitochondrion,18.9,13,37,59
Yarrowia lipolytica mitochondrion,48,24,53,45
,,,,
Chloroplasts,,,,
Acorus calamus plastid,153.8,84,130,49
Adiantum capillus-veneris chloroplast,151,87,130,
Anthoceros formosae chloroplast,161,90,135,
Arabidopsis thaliana chloroplast,154,87,132,
Atropa belladonna chloroplast,156.7,87,132,51
Calycanthus floridus var. glaucus chloroplast,153,88,134,
Chaetosphaeridium globosum chloroplast,131,98,141,
Cucumis sativus chloroplast,155.3,85,131,49
Cyanophora paradoxa chloroplast,135.6,149,192,
Emiliania huxleyi chloroplast,105.3,119,155,76
Euglena gracilis chloroplast,143,66,114,66
Glycine max chloroplast,152,,128,48
Gossypium hirsutum chloroplast,160,,131,44
Gracilaria tenuistipitata var. liui chloroplast,183.9,203,238,80
Lactuca sativa chloroplast,152.7,84,128,47
Lycopersicon esculentum chloroplast,155,86,132,54
Nicotiana tabacum plastid,155.9,101,146,49
Nicotiana tomentosiformis chloroplast,155.7,109,155,54
Phalaenopsis aphrodite subsp. formosana chloroplast,149,97,141,44
Porphyra yezoensis chloroplast,192,209,264,51
Psilotum nudum chloroplast,138.8,101,150,55
Solanum bulbocastanum chloroplast,155,,142,80
Spinacia oleracea plastid,151,98,143,48
Theileria parva strain Muguga apicoplast ,39.6,44,70,66
Toxoplasma gondii apicoplast chloroplast,35,26,63,52
